latitude,longitude,volume,year
32.69888,-117.13314,60,2010
32.69889,-117.13316,58,2013
32.69894,-117.133,73,2014
32.69894,-117.133,76,2016
32.69899,-117.13329,74,2017
32.69891,-117.13315,75,2018
32.69889,-117.1339,80,2019
32.69918,-117.13371,74,2010
32.69899,-117.13393,68,2013
32.69901,-117.13403,69,2014
32.6989,-117.13337,68,2015
32.69893,-117.13391,74,2016
32.69926,-117.13378,72,2017
32.69919,-117.13354,80,2018
32.6989,-117.13337,61,2019
32.69881,-117.13386,74,2010
32.69888,-117.13348,64,2013
32.69923,-117.13376,76,2014
32.69904,-117.1339,64,2015
32.69893,-117.13385,54,2016
32.69919,-117.13377,60,2017
32.69863,-117.13392,76,2018
32.69927,-117.13377,71,2019
32.69916,-117.13372,60,2017
32.69894,-117.13349,68,2010
32.69916,-117.13373,72,2013
32.69926,-117.1337,75,2014
32.69903,-117.13373,79,2015
32.69912,-117.13405,78,2016
32.69948,-117.13389,81,2017
32.69894,-117.13297,83,2018
32.69892,-117.13316,74,2019
32.69934,-117.1336,76,2010
32.69902,-117.13368,78,2013
32.69899,-117.13329,72,2014
32.69899,-117.13329,74,2015
40.69503,-73.93078,62,2016
32.70341,-117.14396,70,2017
32.69716,-117.12689,34,2018
40.69516,-73.93065,61,2019
33.88966,-84.27924,49,2010
20.3755,-98.72214,47,2013
32.69428,-117.13604,69,2014
48.96076,-122.43405,42,2015
10.51798,-85.37622,49,2016
10.51182,-85.37502,43,2017
10.50686,-85.3712,38,2018
10.50037,-85.3761,40,2019
10.4938,-85.38045,36,2010
10.48704,-85.38266,45,2013
10.4701,-85.38002,43,2014
10.46415,-85.37435,42,2015
10.45666,-85.36642,43,2016
10.45018,-85.36373,57,2017
10.44472,-85.34933,41,2018
10.44285,-85.34123,44,2019
10.44285,-85.34123,44,2010
10.43578,-85.3357,38,2010
10.43578,-85.3357,38,2010
10.43298,-85.32681,40,2013
10.42064,-85.29758,47,2013
10.41128,-85.27766,58,2014
32.99816,-117.2575,73,2015
10.70394,-85.41136,51,2016
10.71299,-85.39907,40,2017
10.71299,-85.39907,40,2018
20.17906,-98.73417,44,2019
43.03223,-76.08874,76,2010
43.03223,-76.08874,76,2013
21.1173,-86.8395,76,2014
-12.06763,-77.15833,64,2015
-12.07373,-77.1616,74,2016
-12.07358,-77.16255,70,2017
-12.07381,-77.1625,66,2018
-12.07317,-77.16593,56,2019
-12.07268,-77.16399,68,2010
38.97274,-95.25177,79,2010
-36.65827,174.55725,51,2013
40.19599,44.49008,36,2014
42.70223,23.29835,40,2015
